,name,data_type,net,KVRH,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,Di,Df,Dif,rho,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV,PONAV
5996,MOF_net-myd_node1-N41_node2-N28_edge1-E8,2inor_1edge,myd,6.121501762,150.4552,278.07744,551.39512,924.7872,1952.2,4279.2,6437.2,6364.8,19.4,39.2,70.0,116.8,109.2,296.0,426.8,420.8,12.67188,28.25776,49.32204,69.38352,3.070457143,30.53622857,39.08057143,71.51142857,826.7142857,1154.571429,1450.285714,2357.142857,1,5.428571429,8.571428571,15.42857143,29.71428571,77.71428571,144.0,208.5714286,1.661028571,5.177257143,8.448,13.65017143,0,-7.868571429,-6.531428571,-12.94857143,0,114.8571429,190.2857143,354.2857143,0,0,0,0,0,15.71428571,22.28571429,48.28571429,0,2.957142857,4.371428571,9.137142857,318.9675333,711.0533333,1127.972622,1395.452889,1299.333333,3034.666667,4422.222222,4643.555556,51.11111111,111.1111111,176.8888889,227.1111111,288.0,728.0,1066.666667,1186.666667,22.01613333,54.66657778,82.49342222,94.61426667,10.33262041,12.67037755,25.9092483,23.35040816,55.31377551,68.84693878,120.7380952,93.05102041,1,1.579081633,3.158163265,3.06037415,2.737244898,8.211734694,12.39285714,11.20408163,0.550040816,0.9054375,1.595522959,1.406952806,43.53410714,122.0544133,196.6990993,177.7138608,0,0.942117347,1.746522109,2.24167517,0,2.0,6.542517007,9.693027211,0,0,0,0,0,-2.0,-1.56377551,-1.585884354,0,-0.04,0.207585034,0.385221088,0,-7.042346939,-6.961275136,-5.836040663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,27.17398,23.17682,27.17398,149538.0,1147.58,5993.53,0.8658,4.52185721,0.8658,0.0,4.52187,0.0,129470.0,0.0
5997,MOF_net-iac_node1-N42_node2-N49_edge1-E13,2inor_1edge,iac,9.000776714,230.8968,472.49008,1044.69648,1207.11812,2032.8,5354.4,8348.0,9186.0,30.0,72.4,128.4,170.0,208.8,580.4,930.8,1077.6,18.1998,49.66252,81.42924,100.22108,2.0593,24.86793333,19.89569167,42.95944167,384.5,761.5,965.0,1262.5,1,5.083333333,5.916666667,10.16666667,26.58333333,61.75,105.25,130.9166667,1.9321,5.171958333,7.338041667,10.34391667,0,-9.9675,-5.23,-15.2875,0,56.58333333,64.25,125.6666667,0,0,0,0,0,14.75,10.5,26.75,0,3.345,2.945,6.69,235.4644,490.926,776.9404,979.497,988.0,2112.0,3088.0,3300.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,798.0,15.6324,37.422,55.8776,65.5374,11.5456,9.52,21.6432,19.94862222,62.33333333,52.0,114.3333333,105.5555556,1,1.111111111,2.222222222,2.333333333,1.333333333,4.0,5.777777778,8.0,0.536188889,0.627977778,1.196666667,1.285122222,31.05333333,71.81777778,109.7836238,144.1347349,0,0.9,1.047777778,1.838888889,0,2.0,2.777777778,4.555555556,0,0,0,0,0,-2.0,-2.0,-3.777777778,0,-0.04,-4.52e-17,-0.035555556,0,-6.2,-6.311901111,-11.64523444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,25.43494,19.79946,25.43494,333684.0,1172.21,6119.14,0.8374,4.37138502,0.8374,0.0,4.37138,0.0,279427.0,0.0
5998,MOF_net-myd_node1-N41_node2-N28_edge1-E5,2inor_1edge,myd,7.813261264,150.4552,278.07744,551.39512,924.7872,1952.2,4279.2,6437.2,6364.8,19.4,39.2,70.0,116.8,109.2,296.0,426.8,420.8,12.67188,28.25776,49.32204,69.38352,3.070457143,30.53622857,39.08057143,71.51142857,826.7142857,1154.571429,1450.285714,2357.142857,1,5.428571429,8.571428571,15.42857143,29.71428571,77.71428571,144.0,208.5714286,1.661028571,5.177257143,8.448,13.65017143,0,-7.868571429,-6.531428571,-12.94857143,0,114.8571429,190.2857143,354.2857143,0,0,0,0,0,15.71428571,22.28571429,48.28571429,0,2.957142857,4.371428571,9.137142857,288.7208667,646.4533333,1033.452622,1275.119556,1200.666667,2810.666667,4166.222222,4382.222222,45.77777778,100.4444444,160.8888889,205.7777778,261.3333333,664.0,986.6666667,1101.333333,20.07,49.98497778,76.29235556,87.68306667,10.33262041,12.67037755,25.9092483,23.35040816,55.31377551,68.84693878,120.7380952,93.05102041,1,1.579081633,3.158163265,3.06037415,2.737244898,8.211734694,12.39285714,11.20408163,0.550040816,0.9054375,1.595522959,1.406952806,43.53410714,122.0544133,196.6990993,177.7138608,0,0.942117347,1.746522109,2.24167517,0,2.0,6.542517007,9.693027211,0,0,0,0,0,-2.0,-1.56377551,-1.585884354,0,-0.04,0.207585034,0.385221088,0,-7.042346939,-6.961275136,-5.836040663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,23.59271,18.51599,23.58023,100903.0,1423.9,5410.18,0.8156,3.098913708,0.8156,0.0,3.09891,0.0,82296.8,0.0
5999,MOF_net-fgl_node1-N24_node2-N18_edge1-E15,2inor_1edge,fgl,2.913310711,106.2615,201.5568,378.745,387.9904,1698.5,3462.0,4596.0,3384.0,12.5,27.0,42.0,47.0,73.0,189.0,241.0,192.0,8.7313,20.294,29.8838,29.0458,3.5596,27.6096,23.23226667,46.51746667,766.3333333,938.0,1212.0,1442.666667,1,4.333333333,5.0,8.666666667,20.33333333,46.33333333,69.0,83.0,1.6932,4.121,5.4474,7.8692,0,-6.466666667,-2.863333333,-8.256666667,0,85.66666667,95.0,190.0,0,0,0,0,0,10.33333333,6.0,16.33333333,0,2.443333333,2.363333333,5.393333333,278.9999,599.862,971.3294,1189.6345,1086.5,2436.0,3581.0,3919.0,44.5,94.0,154.0,193.0,248.0,618.0,898.0,1053.0,18.19365,44.6908,67.4842,80.3123,11.4016,9.894,22.23293333,17.02666667,61.5,54.0,110.8333333,88.16666667,1,1.166666667,2.333333333,2.0,1.5,4.5,6.0,6.333333333,0.537833333,0.660916667,1.195,1.079333333,32.535,77.78166667,107.497538,119.3121023,0,0.905,1.103333333,1.705,0,2.0,3.833333333,4.5,0,0,0,0,0,-2.0,-1.666666667,-3.333333333,0,-0.04,0.09,-0.006666667,0,-6.3,-4.685703333,-10.16785167,10.5376,16.014,33.2396,26.556,56.5,87.0,150.5,100.5,1.0,2.0,4.0,3.5,5.0,15.0,21.5,16.5,0.5477,1.1473,1.9725,1.55585,41.425,155.375,230.152614,193.538921,0,1.18,2.02,2.64,0,2.5,8.5,12.0,0,0,0,0,0,-1.0,1.5,1.0,0,-0.05,0.33,0.51,0,-8.85,-5.95711,-5.560665,49.72833,44.99963,49.72833,538729.0,654.05,7344.88,0.9221,10.35504288,0.9221,0.0,10.355,0.0,496762.0,0.0
6000,MOF_net-iac_node1-N29_node2-N49_edge1-E3,2inor_1edge,iac,27.25355439,148.77492,277.6768,747.684,605.05472,2400.6,5760.0,6070.4,4224.0,16.2,40.0,74.4,75.2,127.2,358.4,471.2,393.6,11.49012,32.10832,49.73592,48.0632,2.2002,30.34844444,16.48542222,30.98275556,896.3333333,1344.0,712.0,925.3333333,1,5.777777778,4.888888889,7.555555556,36.44444444,77.33333333,93.33333333,107.5555556,1.9602,5.921111111,6.029422222,7.919822222,0,-11.05333333,-4.333333333,-11.90666667,0,121.7777778,73.33333333,87.55555556,0,0,0,0,0,24.0,12.0,21.33333333,0,3.893333333,2.52,4.866666667,118.7144,219.096,337.3204,385.387,548.0,1008.0,1456.0,1420.0,16.0,32.0,48.0,58.0,80.0,192.0,256.0,250.0,7.4224,16.2624,23.0448,24.6794,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2.0,2.0,4.0,0,0,0,0,0,-2.0,-2.0,-4.0,0,-0.04,-0.04,-0.08,0,-6.0,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.697,9.42715,12.61012,65952.8,2048.88,4135.54,0.6717,1.355789202,0.6717,0.0,1.35579,0.0,44300.5,0.0
6001,MOF_net-ibd_node1-N29_node2-N61_edge1-E13,2inor_1edge,ibd,2.611444329,153.66856,283.34592,797.93568,637.19808,2782.6,6700.8,7672.8,6220.8,16.6,40.8,79.2,81.6,129.6,362.4,501.6,451.2,12.85276,35.63568,58.00368,58.90224,2.2892,31.9232,17.76613333,40.25146667,1094.333333,1605.333333,1316.0,1624.0,1,6.0,5.333333333,9.333333333,38.0,79.33333333,105.3333333,125.3333333,2.5988,6.900933333,8.801866667,11.5672,0,-11.36,-4.2,-15.29333333,0,152.6666667,97.33333333,166.6666667,0,0,0,0,0,25.33333333,12.0,28.0,0,5.073333333,3.346666667,8.52,235.4644,490.926,776.9404,979.497,988.0,2112.0,3088.0,3300.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,798.0,15.6324,37.422,55.8776,65.5374,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2.0,2.0,4.0,0,0,0,0,0,-2.0,-2.0,-4.0,0,-0.04,-0.04,-0.08,0,-6.0,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,16.69834,12.22472,15.17285,253240.0,1557.68,6684.95,0.8356,3.586081404,0.8356,0.0,3.58608,0.0,211607.0,0.0
6002,MOF_net-myd_node1-N57_node2-N28_edge1-E13,2inor_1edge,myd,1.029413516,143.92108,264.0,536.79184,673.7664,2552.8,5078.4,5920.0,7027.2,16.4,36.8,59.2,83.2,96.0,238.4,324.8,396.8,11.46564,27.7144,40.87248,53.17248,2.7225,24.7104,20.196,45.804,900.0,1044.0,864.0,1848.0,1,4.4,4.8,9.6,19.6,41.2,64.8,104.0,1.7161,4.2182,4.84176,9.05472,0,-7.716,-4.32,-11.92,0,97.2,115.2,226.4,0,0,0,0,0,10.4,7.2,20.0,0,2.544,2.592,5.664,245.7792,521.866,825.0586667,1041.243667,1011.0,2216.0,3214.666667,3434.666667,38.33333333,81.33333333,128.6666667,169.3333333,210.0,528.0,766.0,862.0,16.4377,39.78333333,59.42406667,69.6576,11.5456,9.52,21.52497778,17.94222222,62.33333333,52.0,110.4444444,91.55555556,1,1.111111111,2.222222222,2.111111111,1.333333333,4.0,5.333333333,6.444444444,0.536188889,0.627977778,1.163333333,1.125122222,31.05333333,71.81777778,104.1983587,123.1739142,0,0.9,1.086666667,1.823333333,0,2.0,3.333333333,5.0,0,0,0,0,0,-2.0,-1.777777778,-3.444444444,0,-0.04,0.044444444,0.011111111,0,-6.2,-5.557135556,-10.45713556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,32.62971,27.56582,32.59178,217546.0,933.77,6668.83,0.9045,6.459791458,0.9045,0.0,6.45978,0.0,196770.0,0.0
6003,MOF_net-ibd_node1-N18_node2-N61_edge1-E13,2inor_1edge,ibd,7.930943682,156.0088,294.40896,707.0568,670.46976,2216.8,5270.4,7882.8,7920.0,17.2,42.0,74.4,87.6,121.2,330.0,504.0,513.6,13.54804,35.61816,57.69432,65.27952,2.692,26.2472,18.9423,45.3567,585.0,906.0,1341.0,1585.5,1,4.75,5.25,9.5,23.75,52.25,88.75,108.25,2.2388,5.17205,7.99965,10.8895,0,-8.71,-3.5525,-14.6025,0,75.25,66.75,152.0,0,0,0,0,0,13.25,7.0,22.25,0,3.6175,2.7175,7.525,235.4644,490.926,776.9404,979.497,988.0,2112.0,3088.0,3300.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,798.0,15.6324,37.422,55.8776,65.5374,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2.0,2.0,4.0,0,0,0,0,0,-2.0,-2.0,-4.0,0,-0.04,-0.04,-0.08,0,-6.0,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,16.98906,13.20417,15.78475,239871.0,1612.46,6541.28,0.8112,3.29080546,0.8112,0.0,3.2908,0.0,194584.0,0.0
6004,MOF_net-cor_node1-N42_node2-N52_edge1-E8,2inor_1edge,cor,2.904164353,232.10448,476.508,1012.4064,1203.9258,2940.0,6583.2,8949.6,10261.2,30.0,70.8,123.6,166.8,199.2,538.8,843.6,1020.0,17.9406,47.47836,76.04124,96.4134,2.5625,25.705,20.485625,44.028375,762.5,1017.5,1085.0,1702.5,1,4.75,5.25,9.5,24.25,53.75,86.25,119.25,1.8241,4.716925,5.926775,9.42745,0,-8.5775,-4.55,-12.5075,0,91.25,100.25,195.0,0,0,0,0,0,13.75,9.5,23.75,0,2.965,2.785,5.93,177.0894,355.011,557.1304,682.442,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.5274,26.8422,39.4612,45.1084,11.5456,9.52,21.6432,19.94862222,62.33333333,52.0,114.3333333,105.5555556,1,1.111111111,2.222222222,2.333333333,1.333333333,4.0,5.777777778,8.0,0.536188889,0.627977778,1.196666667,1.285122222,31.05333333,71.81777778,109.7836238,144.1347349,0,0.9,1.047777778,1.838888889,0,2.0,2.777777778,4.555555556,0,0,0,0,0,-2.0,-2.0,-3.777777778,0,-0.04,-4.39e-17,-0.035555556,0,-6.2,-6.311901111,-11.64523444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,20.03411,15.11382,19.82158,132910.0,1543.73,4968.05,0.7824,2.517925415,0.7824,0.0,2.51793,0.0,103989.0,0.0
6005,MOF_net-ibd_node1-N29_node2-N61_edge1-E8,2inor_1edge,ibd,5.410323901,153.66856,283.34592,797.93568,637.19808,2782.6,6700.8,7672.8,6220.8,16.6,40.8,79.2,81.6,129.6,362.4,501.6,451.2,12.85276,35.63568,58.00368,58.90224,2.2892,31.9232,17.76613333,40.25146667,1094.333333,1605.333333,1316.0,1624.0,1,6.0,5.333333333,9.333333333,38.0,79.33333333,105.3333333,125.3333333,2.5988,6.900933333,8.801866667,11.5672,0,-11.36,-4.2,-15.29333333,0,152.6666667,97.33333333,166.6666667,0,0,0,0,0,25.33333333,12.0,28.0,0,5.073333333,3.346666667,8.52,177.0894,355.011,557.1304,682.442,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.5274,26.8422,39.4612,45.1084,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2.0,2.0,4.0,0,0,0,0,0,-2.0,-2.0,-4.0,0,-0.04,-0.04,-0.08,0,-6.0,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.79477,9.13735,12.1026,130959.0,2095.12,5853.04,0.7614,2.127088956,0.7614,0.0,2.12709,0.0,99711.9,0.0
